start,end,amount,scholarship
2022,ongoing,Postdoc salary (TV-L E13) for 2 years,"Walter-Benjamin Postdoctoral position, Deutsche Forschungsgemeinschaft (DFG)"
2019,2021,45000 CAD/year,"Postdoctoral Training scholarship (Canadian citizens and permanent residents) , Fonds de recherche Québec santé (FRQS)"
